DIP:78E	DIP:285N		SWP:Q15628	PIR:A56911	GI:1082839	DIP:407N		SWP:P19438	PIR:GQHUT1	GI:69057
DIP:79E	DIP:468N		SWP:P39429	PIR:I61512	GI:2137820	DIP:407N		SWP:P19438	PIR:GQHUT1	GI:69057
DIP:80E	DIP:286N		SWP:Q13158	PIR:A56912	GI:4505229	DIP:407N		SWP:P19438	PIR:GQHUT1	GI:69057
DIP:81E	DIP:85N		SWP:P25799	PIR:A35697	GI:111166	DIP:93N		SWP:P14778	PIR:A36187	GI:106817
DIP:82E	DIP:406N		SWP:P08138	PIR:GQHUN	GI:69056	DIP:451N			PIR:I51297	GI:2133916
DIP:83E	DIP:451N			PIR:I51297	GI:2133916	DIP:346N		SWP:P20783	PIR:C40304	GI:418820
DIP:84E	DIP:144N		SWP:P20936	PIR:A40121	GI:106201	DIP:1050N		SWP:P01112	PIR:TVHUH	GI:68929
DIP:85E	DIP:405N			PIR:GQHUE	GI:66820	DIP:184N		SWP:P29354	PIR:A43321	GI:284139
DIP:86E	DIP:450N			PIR:I51162	GI:2147953	DIP:184N		SWP:P29354	PIR:A43321	GI:284139
DIP:88E	DIP:175N		SWP:P29466	PIR:A42677	GI:420062	DIP:474N		SWP:P01584	PIR:ICHU1B	GI:7428597
DIP:89E	DIP:483N		SWP:P01579	PIR:IVHUG	GI:69692	DIP:950N		SWP:P70380	PIR:S60226	GI:2137253
DIP:90E	DIP:950N		SWP:P70380	PIR:S60226	GI:2137253	DIP:175N		SWP:P29466	PIR:A42677	GI:420062
DIP:91E	DIP:950N		SWP:P70380	PIR:S60226	GI:2137253	DIP:268N		SWP:P42574	PIR:A55315	GI:1082321
DIP:95E	DIP:229N		SWP:P32239	PIR:A47430	GI:476975	DIP:403N		SWP:P01350	PIR:GMHUB	GI:69369
DIP:96E	DIP:664N		SWP:P35570	PIR:S16948	GI:111821	DIP:403N		SWP:P01350	PIR:GMHUB	GI:69369
DIP:97E	DIP:295N			PIR:A57459	GI:2117823	DIP:253N		SWP:P43405	PIR:A53596	GI:627588
DIP:98E	DIP:1037N		SWP:P07996	PIR:TSHUP1	GI:1070640	DIP:879N			PIR:S53337	GI:1082281
DIP:99E	DIP:434N			PIR:I39005	GI:2134965	DIP:500N			PIR:JC5080	GI:2134461
DIP:101E	DIP:190N			PIR:A44018	GI:346225	DIP:26N		SWP:P08253	PIR:A28153	GI:280789
DIP:102E	DIP:1057N		SWP:P10242	PIR:TVHUMB	GI:7428541	DIP:235N		SWP:P38531	PIR:A48092	GI:477096
DIP:114E	DIP:22N		SWP:P06730	PIR:A26411	GI:88163	DIP:267N			PIR:A55258	GI:1083700
DIP:115E	DIP:499N			PIR:JC4936	GI:2135340	DIP:61N		SWP:P15257	PIR:A33333	GI:112416
DIP:116E	DIP:331N			PIR:B48845	GI:543013	DIP:987N			PIR:S64710	GI:2137063
DIP:117E	DIP:263N		SWP:Q12772	PIR:A54962	GI:1082805	DIP:987N			PIR:S64710	GI:2137063
DIP:118E	DIP:268N		SWP:P42574	PIR:A55315	GI:1082321	DIP:562N		SWP:P04187	PIR:PRMSCL	GI:67579
DIP:119E	DIP:38N		SWP:P09874	PIR:A29725	GI:627553	DIP:434N			PIR:I39005	GI:2134965
DIP:120E	DIP:368N		SWP:P04637	PIR:DNHU53	GI:8400738	DIP:392N			PIR:G02026	
DIP:121E	DIP:226N			PIR:A47001	GI:539651	DIP:977N		SWP:Q64693	PIR:S63588	GI:2137829
DIP:122E	DIP:51N		SWP:P09086	PIR:A31753	GI:2119742	DIP:977N		SWP:Q64693	PIR:S63588	GI:2137829
DIP:131E	DIP:87N		SWP:P20071	PIR:A35780	GI:107276	DIP:790N		SWP:P42345	PIR:S45340	GI:2135120
DIP:132E	DIP:114N		SWP:Q99075	PIR:A38432	GI:106230	DIP:370N		SWP:P00587	PIR:DOCGA	GI:1070468
DIP:148E	DIP:496N		SWP:Q16514	PIR:JC4676	GI:2135937	DIP:496N		SWP:Q16514	PIR:JC4676	GI:2135937
DIP:149E	DIP:420N		SWP:P02304	PIR:HSHU4	GI:1070598	DIP:496N		SWP:Q16514	PIR:JC4676	GI:2135937
DIP:150E	DIP:420N		SWP:P02304	PIR:HSHU4	GI:1070598	DIP:435N		SWP:Q16594	PIR:I39141	GI:2136305
DIP:151E	DIP:421N		SWP:P06899	PIR:HSHUB1	GI:1070595	DIP:493N			PIR:JC4245	GI:1363982
DIP:152E	DIP:922N			PIR:S57473	GI:1362815	DIP:493N			PIR:JC4245	GI:1363982
DIP:155E	DIP:1078N		SWP:P20226	PIR:TWHU2D	GI:1070666	DIP:839N		SWP:P46677	PIR:S50237	GI:1078410
DIP:156E	DIP:1078N		SWP:P20226	PIR:TWHU2D	GI:1070666	DIP:147N			PIR:A40262	GI:2136308
DIP:162E	DIP:147N			PIR:A40262	GI:2136308	DIP:255N		SWP:Q24325	PIR:A54063	GI:627172
DIP:164E	DIP:147N			PIR:A40262	GI:2136308	DIP:343N		SWP:P23255	PIR:BWBYM1	GI:279714
DIP:171E	DIP:1021N		SWP:P11277	PIR:SJHUB	GI:71568	DIP:1020N			PIR:SJHUA	GI:71566
DIP:172E	DIP:147N			PIR:A40262	GI:2136308	DIP:493N			PIR:JC4245	GI:1363982
