YKL163W	PIR3	S000001646	F	structural molecule activity	5198	ORF|Verified
YKL163W	PIR3	S000001646	P	cell wall organization and biogenesis	7047	ORF|Verified
YKL163W	PIR3	S000001646	C	cell wall	5618	ORF|Verified
YER075C	PTP3	S000000877	F	phosphoprotein phosphatase activity	4721	ORF|Verified
YER075C	PTP3	S000000877	P	protein modification	6464	ORF|Verified
YER075C	PTP3	S000000877	C	cytoplasm	5737	ORF|Verified
YKL164C	PIR1	S000001647	F	structural molecule activity	5198	ORF|Verified
YKL164C	PIR1	S000001647	P	cell wall organization and biogenesis	7047	ORF|Verified
YKL164C	PIR1	S000001647	C	cell wall	5618	ORF|Verified
YPR127W		S000006331	F	molecular_function unknown	5554	ORF|Uncharacterized
YPR127W		S000006331	P	biological_process unknown	4	ORF|Uncharacterized
YPR127W		S000006331	C	cytoplasm	5737	ORF|Uncharacterized
YPR127W		S000006331	C	nucleus	5634	ORF|Uncharacterized
YEL058W	PCM1	S000000784	F	isomerase activity	16853	ORF|Verified
YEL058W	PCM1	S000000784	P	carbohydrate metabolism	5975	ORF|Verified
YEL058W	PCM1	S000000784	C	cytoplasm	5737	ORF|Verified
YEL058W	PCM1	S000000784	C	nucleus	5634	ORF|Verified
YPR128C	ANT1	S000006332	F	transporter activity	5215	ORF|Verified
YPR128C	ANT1	S000006332	P	organelle organization and biogenesis	6996	ORF|Verified
YPR128C	ANT1	S000006332	C	cytoplasm	5737	ORF|Verified
YER076C		S000000878	F	molecular_function unknown	5554	ORF|Uncharacterized
YER076C		S000000878	P	biological_process unknown	4	ORF|Uncharacterized
YER076C		S000000878	C	membrane fraction	5624	ORF|Uncharacterized
YER076C		S000000878	C	mitochondrion	5739	ORF|Uncharacterized
YKL165C	MCD4	S000001648	F	molecular_function unknown	5554	ORF|Verified
YKL165C	MCD4	S000001648	P	protein modification	6464	ORF|Verified
YKL165C	MCD4	S000001648	C	cell wall	5618	ORF|Verified
YBR110W	ALG1	S000000314	F	transferase activity	16740	ORF|Verified
YBR110W	ALG1	S000000314	P	protein modification	6464	ORF|Verified
YBR110W	ALG1	S000000314	C	membrane	16020	ORF|Verified
YPR062W	FCY1	S000006266	F	hydrolase activity	16787	ORF|Verified
YPR062W	FCY1	S000006266	C	cytoplasm	5737	ORF|Verified
YPR062W	FCY1	S000006266	C	nucleus	5634	ORF|Verified
YPL045W	VPS16	S000005966	F	molecular_function unknown	5554	ORF|Verified
YPL045W	VPS16	S000005966	P	organelle organization and biogenesis	6996	ORF|Verified
YPL045W	VPS16	S000005966	C	membrane	16020	ORF|Verified
YPL045W	VPS16	S000005966	C	vacuole	5773	ORF|Verified
YBR111C	YSA1	S000000315	F	hydrolase activity	16787	ORF|Verified
YBR111C	YSA1	S000000315	P	biological_process unknown	4	ORF|Verified
YBR111C	YSA1	S000000315	C	mitochondrion	5739	ORF|Verified
YBR111C	YSA1	S000000315	C	cytoplasm	5737	ORF|Verified
YBR111C	YSA1	S000000315	C	nucleus	5634	ORF|Verified
YPR063C		S000006267	F	molecular_function unknown	5554	ORF|Uncharacterized
YPR063C		S000006267	P	biological_process unknown	4	ORF|Uncharacterized
YPR063C		S000006267	C	endoplasmic reticulum	5783	ORF|Uncharacterized
YPL046C	ELC1	S000005967	F	transcription regulator activity	30528	ORF|Verified
YPL046C	ELC1	S000005967	P	DNA metabolism	6259	ORF|Verified
YPL046C	ELC1	S000005967	P	transcription	6350	ORF|Verified
YPL046C	ELC1	S000005967	C	nucleus	5634	ORF|Verified
YER077C		S000000879	F	molecular_function unknown	5554	ORF|Uncharacterized
YER077C		S000000879	P	biological_process unknown	4	ORF|Uncharacterized
YER077C		S000000879	C	mitochondrion	5739	ORF|Uncharacterized
YKL166C	TPK3	S000001649	F	protein kinase activity	4672	ORF|Verified
YKL166C	TPK3	S000001649	P	pseudohyphal growth	7124	ORF|Verified
YKL166C	TPK3	S000001649	C	cytoplasm	5737	ORF|Verified
YPR129W	SCD6	S000006333	F	RNA binding	3723	ORF|Verified
YPR129W	SCD6	S000006333	P	RNA metabolism	16070	ORF|Verified
YPR129W	SCD6	S000006333	C	cytoplasm	5737	ORF|Verified
YBR112C	CYC8	S000000316	F	transcription regulator activity	30528	ORF|Verified
YBR112C	CYC8	S000000316	P	transcription	6350	ORF|Verified
YBR112C	CYC8	S000000316	C	nucleus	5634	ORF|Verified
YER078C		S000000880	F	peptidase activity	8233	ORF|Uncharacterized
YER078C		S000000880	P	biological_process unknown	4	ORF|Uncharacterized
YER078C		S000000880	C	mitochondrion	5739	ORF|Uncharacterized
YKL167C	MRP49	S000001650	F	structural molecule activity	5198	ORF|Verified
YKL167C	MRP49	S000001650	P	protein biosynthesis	6412	ORF|Verified
YKL167C	MRP49	S000001650	C	ribosome	5840	ORF|Verified
YKL167C	MRP49	S000001650	C	mitochondrion	5739	ORF|Verified
YBL071C-B		S000028597	F	molecular_function unknown	5554	ORF|Uncharacterized
YBL071C-B		S000028597	P	biological_process unknown	4	ORF|Uncharacterized
YBL071C-B		S000028597	C	cellular_component unknown	8372	ORF|Uncharacterized
YPL047W	SGF11	S000005968	F	molecular_function unknown	5554	ORF|Verified
YPL047W	SGF11	S000005968	P	transcription	6350	ORF|Verified
YPL047W	SGF11	S000005968	C	nucleus	5634	ORF|Verified
YBL030C	PET9	S000000126	F	transporter activity	5215	ORF|Verified
YBL030C	PET9	S000000126	P	cellular respiration	45333	ORF|Verified
YBL030C	PET9	S000000126	C	mitochondrial membrane	5740	ORF|Verified
YKL168C	KKQ8	S000001651	F	protein kinase activity	4672	ORF|Verified
YKL168C	KKQ8	S000001651	P	biological_process unknown	4	ORF|Verified
YKL168C	KKQ8	S000001651	C	cytoplasm	5737	ORF|Verified
YPR065W	ROX1	S000006269	F	DNA binding	3677	ORF|Verified
YPR065W	ROX1	S000006269	P	transcription	6350	ORF|Verified
YPR065W	ROX1	S000006269	C	chromosome	5694	ORF|Verified
YPR065W	ROX1	S000006269	C	nucleus	5634	ORF|Verified
YPL048W	CAM1	S000005969	F	translation regulator activity	45182	ORF|Verified
